WARMUP REPORT
Batch Name,Warmup 2025-12-28 18:08
Created,2025-12-28 17:08:42
Total Duration (min),240
Status,running

SUMMARY
Total Profiles,2
Completed Sessions,0
Running Sessions,0
Pending Sessions,2
Failed Sessions,0
Total Actions,32
Total Duration (actual),0

ACTIONS BREAKDOWN
Like,18
Follow,9
Save,5

PER PROFILE STATISTICS
Profile ID,Display Name,Session Type,Status,Expected Duration (min),Actual Duration (min),Total Actions,Likes,Follows,Saves,DMs,Success Rate (%)
profile_ad056f6b,profile_ad056f6b,engagement,pending,30,,19,10,6,3,0,0.0%
profile_b3a3ccdd,profile_b3a3ccdd,engagement,pending,30,,13,8,3,2,0,0.0%
